kind,ref_idx,depth,objectRad,dist,center_frame,RickerDetector|Green|peak,RickerDetector|Green|frame,RickerDetector|joint|peak,RickerDetector|joint|frame,BoxDetector|Green|peak,BoxDetector|Green|frame,BoxDetector|joint|peak,BoxDetector|joint|frame,MultiWidthRickerDetector|Green|peak,MultiWidthRickerDetector|Green|frame,MultiWidthRickerDetector|joint|peak,MultiWidthRickerDetector|joint|frame,FresnelMatchedFilterDetector|Green|peak,FresnelMatchedFilterDetector|Green|frame,FresnelMatchedFilterDetector|joint|peak,FresnelMatchedFilterDetector|joint|frame,NormalizedSNRDetector|Green|peak,NormalizedSNRDetector|Green|frame,NormalizedSNRDetector|joint|peak,NormalizedSNRDetector|joint|frame
inject,67,0.12557950746252478,1020.9810252548218,44.69533062764485,1852,3.6211241011752904,1434,3.6211241011752904,1434,4.978150858919133,1434,4.978150858919133,1434,4.210085982349473,1434,4.210085982349473,1434,4.869793485014026,1433,4.869793485014026,1433,1.0828196365465148,1433,1.0828196365465148,1433
inject,676,0.25323923314050456,1109.4500223468804,42.956793616456274,1985,3.8094070366115718,219,3.8094070366115718,219,4.356604018609891,220,4.356604018609891,220,4.283379665971931,1023,4.283379665971931,1023,4.100966817619218,1019,4.100966817619218,1019,1.536705324142606,2363,1.536705324142606,2363
inject,774,0.12584461145300485,459.5367608366206,35.870706394569964,1333,3.408436278049805,2309,3.408436278049805,2309,2.9161174434031643,718,2.9161174434031643,718,3.9351706453245483,833,3.9351706453245483,833,4.218729553950815,833,4.218729553950815,833,9.302275900488539,2237,9.302275900488539,2237
inject,834,0.13162893421285926,1296.7106011043334,31.8403599026411,1054,3.677613112812269,142,3.677613112812269,142,4.041879782979861,1613,4.041879782979861,1613,4.065507738110138,1613,4.065507738110138,1613,4.467609535199947,2009,4.467609535199947,2009,5.303824737697101,996,5.303824737697101,996
inject,766,0.21662341925096695,1291.6440797699092,30.603273313569012,1953,3.122809360949005,1030,3.122809360949005,1030,3.0031164965338895,2362,3.0031164965338895,2362,4.125413151295419,1030,4.125413151295419,1030,4.612460011103127,1031,4.612460011103127,1031,1.0509540249977445,1049,1.0509540249977445,1049
inject,1009,0.7186335090792662,1682.5149621191272,44.95515439608738,1260,6.424004904982147,1230,6.424004904982147,1230,8.232349894250934,1231,8.232349894250934,1231,8.326082405368275,1230,8.326082405368275,1230,11.222618138969986,1231,11.222618138969986,1231,1.6601953945547308,1230,1.6601953945547308,1230
inject,926,0.14536922273032216,1046.689184159121,38.82570164143822,1680,3.21104709296776,1206,3.21104709296776,1206,3.7370081486606455,841,3.7370081486606455,841,3.857232615372321,841,3.857232615372321,841,4.363613129746691,1455,4.363613129746691,1455,1.373950194140088,1455,1.373950194140088,1455
inject,1258,0.24252892087118938,1767.0149975914308,38.466192316808915,611,3.418433316787118,498,3.418433316787118,498,3.4615759769158116,388,3.4615759769158116,388,3.535443895581635,498,3.535443895581635,498,3.6963072363276943,1938,3.6963072363276943,1938,2.678104754354227,689,2.678104754354227,689
inject,255,0.24099549509245877,857.5698925998244,32.631146249776215,1571,2.6973245756829867,1320,2.6973245756829867,1320,3.150361151582209,977,3.150361151582209,977,3.2835775186686122,777,3.2835775186686122,777,4.4864652522445185,1323,4.4864652522445185,1323,0.8828875151170906,1294,0.8828875151170906,1294
inject,805,0.33604971808062034,638.8071791551265,37.68260486756603,2042,4.661167597639351,2028,4.661167597639351,2028,5.082756982021031,2030,5.082756982021031,2030,4.661167597639351,2028,4.661167597639351,2028,5.966073935886799,2029,5.966073935886799,2029,1.861306156006605,1884,1.861306156006605,1884
